day,server_name,total_count
1,1,128105
1,2,481437
1,3,473904
1,4,18079
1,5,72229
1,6,133588
1,7,27567
1,8,164532
1,9,34289
1,10,65263
1,11,21739
1,12,176468
1,13,461469
1,14,45820
2,1,150568
2,2,593682
2,3,547693
2,4,45858
2,5,20026
2,6,109494
2,7,18017
2,8,115591
2,9,41175
2,10,58542
2,11,25266
2,12,170482
2,13,519305
2,14,53572
3,1,203869
3,2,745913
3,3,625405
3,4,17696
3,5,67171
3,6,170392
3,7,22511
3,8,155452
3,9,64256
3,10,213706
3,11,84989
3,12,234027
3,13,698459
3,14,61918
4,1,255060
4,2,1114074
4,3,654180
4,4,52925
4,5,57121
4,6,189413
4,7,10057
4,8,160681
4,9,75081
4,10,75014
4,11,117424
4,12,367784
4,13,726931
4,14,36014
5,1,167209
5,2,0
5,3,406474
5,4,6416
5,5,29521
5,6,99648
5,7,7204
5,8,47579
5,9,40396
5,10,41602
5,11,21898
5,12,433040
5,13,504506
5,14,49064
6,1,194789
6,2,0
6,3,474283
6,4,29971
6,5,27637
6,6,82856
6,7,6404
6,8,75431
6,9,68001
6,10,83088
6,11,54188
6,12,189545
6,13,247778
6,14,40893
7,1,204143
7,2,0
7,3,461860
7,4,45609
7,5,34953
7,6,98879
7,7,1235
7,8,69541
7,9,47244
7,10,95321
7,11,26442
7,12,201023
7,13,849979
7,14,24049
8,1,167955
8,2,0
8,3,349618
8,4,33954
8,5,13702
8,6,83472
8,7,0
8,8,110332
8,9,52526
8,10,157337
8,11,20896
8,12,223649
8,13,913758
8,14,63066
9,1,235779
9,2,0
9,3,251979
9,4,25873
9,5,4149
9,6,51841
9,7,0
9,8,150491
9,9,37439
9,10,93224
9,11,19652
9,12,194158
9,13,1066917
9,14,65170
10,1,240898
10,2,0
10,3,567650
10,4,46558
10,5,68799
10,6,74694
10,7,0
10,8,196675
10,9,0
10,10,164938
10,11,6116
10,12,228569
10,13,1391983
10,14,103741
11,1,258409
11,2,0
11,3,782510
11,4,45791
11,5,32782
11,6,131664
11,7,0
11,8,152758
11,9,0
11,10,304366
11,11,6831
11,12,494239
11,13,1113372
11,14,89049
12,1,241765
12,2,0
12,3,536914
12,4,23702
12,5,37861
12,6,113047
12,7,0
12,8,128283
12,9,50397
12,10,549459
12,11,29259
12,12,502166
12,13,1138385
12,14,99661
13,1,163935
13,2,0
13,3,446421
13,4,23729
13,5,5175
13,6,57204
13,7,0
13,8,65540
13,9,41119
13,10,142606
13,11,17662
13,12,419661
13,13,612541
13,14,67940
14,1,203126
14,2,0
14,3,518152
14,4,37806
14,5,22384
14,6,85215
14,7,0
14,8,100662
14,9,73967
14,10,480515
14,11,11180
14,12,316632
14,13,803328
14,14,83285
15,1,271958
15,2,0
15,3,543992
15,4,33457
15,5,42399
15,6,115924
15,7,0
15,8,110992
15,9,81373
15,10,174889
15,11,36271
15,12,329970
15,13,852957
15,14,66503
16,1,227532
16,2,0
16,3,742799
16,4,61183
16,5,38343
16,6,93018
16,7,0
16,8,117756
16,9,83440
16,10,198458
16,11,31241
16,12,364304
16,13,1043146
16,14,102235
17,1,266547
17,2,0
17,3,1061414
17,4,53375
17,5,26949
17,6,111211
17,7,0
17,8,94772
17,9,90411
17,10,190773
17,11,41965
17,12,256913
17,13,838266
17,14,119757
18,1,249681
18,2,0
18,3,724304
18,4,51407
18,5,22665
18,6,117759
18,7,0
18,8,136912
18,9,104317
18,10,176775
18,11,48889
18,12,118948
18,13,816097
18,14,142606
19,1,276551
19,2,0
19,3,779864
19,4,88782
19,5,25250
19,6,112161
19,7,0
19,8,129385
19,9,132162
19,10,164954
19,11,55177
19,12,140345
19,13,1035095
19,14,97381
20,1,242243
20,2,0
20,3,639767
20,4,49165
20,5,33086
20,6,109313
20,7,0
20,8,123675
20,9,116341
20,10,163823
20,11,43307
20,12,179332
20,13,854481
20,14,124060
21,1,231868
21,2,0
21,3,651372
21,4,84396
21,5,30142
21,6,121408
21,7,0
21,8,107843
21,9,110500
21,10,142097
21,11,16522
21,12,194648
21,13,851247
21,14,81595
22,1,205309
22,2,0
22,3,552295
22,4,86435
22,5,31255
22,6,100976
22,7,0
22,8,105161
22,9,88279
22,10,0
22,11,53236
22,12,168286
22,13,869055
22,14,93543
23,1,212140
23,2,0
23,3,535885
23,4,74835
23,5,44820
23,6,141924
23,7,0
23,8,98888
23,9,70099
23,10,0
23,11,37088
23,12,0
23,13,806456
23,14,123618
24,1,231262
24,2,0
24,3,896454
24,4,68243
24,5,46916
24,6,190794
24,7,0
24,8,123470
24,9,93049
24,10,0
24,11,58708
24,12,63192
24,13,883427
24,14,141582
25,1,249516
25,2,0
25,3,652050
25,4,65277
25,5,44129
25,6,161180
25,7,0
25,8,115756
25,9,81101
25,10,0
25,11,42563
25,12,122603
25,13,930403
25,14,110218
26,1,208861
26,2,0
26,3,410197
26,4,50984
26,5,30317
26,6,126778
26,7,0
26,8,55942
26,9,47967
26,10,0
26,11,29950
26,12,206905
26,13,602311
26,14,77413
27,1,165499
27,2,0
27,3,418334
27,4,46260
27,5,34938
27,6,140958
27,7,0
27,8,67354
27,9,47399
27,10,0
27,11,17261
27,12,93407
27,13,515974
27,14,91627
28,1,187523
28,2,0
28,3,535123
28,4,30458
28,5,25057
28,6,96696
28,7,0
28,8,45111
28,9,31402
28,10,0
28,11,14711
28,12,83419
28,13,488554
28,14,135187
